stcofips,label,redfin_region
36061,"New York, NY","New York County, NY"
06037,"Los Angeles, CA","Los Angeles County, CA"
17031,"Chicago, IL","Cook County, IL"
48113,"Dallas, TX","Dallas County, TX"
48201,"Houston, TX","Harris County, TX"
11001,"Washington, DC","District of Columbia, DC"
42101,"Philadelphia, PA","Philadelphia County, PA"
13121,"Atlanta, GA","Fulton County, GA"
12086,"Miami-Dade, FL","Miami-Dade County, FL"
04013,"Phoenix, AZ","Maricopa County, AZ"
25025,"Boston, MA","Suffolk County, MA"
06075,"San Francisco, CA","San Francisco County, CA"
06065,"Riverside, CA","Riverside County, CA"
26163,"Detroit, MI","Wayne County, MI"
53033,"Seattle, WA","King County, WA"
27053,"Minneapolis, MN","Hennepin County, MN"
06073,"San Diego, CA","San Diego County, CA"
12057,"Tampa, FL","Hillsborough County, FL"
08031,"Denver, CO","Denver County, CO"
29189,"St. Louis, MO","St. Louis County, MO"
